,condition,environment,bootstraps
189,small,ashtray,2.3333333333333335
190,small,ashtray,2.6666666666666665
191,small,ashtray,9.2
192,small,ashtray,3.6
193,small,ashtray,2.0
194,small,ashtray,3.0
195,small,ashtray,2.6666666666666665
196,small,ashtray,4.6
197,small,ashtray,3.0
198,small,ashtray,7.0
199,small,ashtray,6.6
200,small,ashtray,8.11111111111111
201,small,ashtray,3.0
202,small,ashtray,6.0
203,small,ashtray,5.166666666666667
204,small,ashtray,6.8
205,small,ashtray,4.4
206,small,ashtray,2.6666666666666665
207,small,ashtray,3.6
208,small,ashtray,2.0
209,small,ashtray,3.6
210,small,ashtray,2.3333333333333335
211,small,ashtray,5.0
212,small,ashtray,6.142857142857143
213,small,ashtray,6.666666666666667
214,small,ashtray,4.666666666666667
215,small,ashtray,3.0
216,small,ashtray,2.0
217,small,ashtray,8.5
218,small,ashtray,4.8
219,small,ashtray,3.0
220,small,ashtray,2.3333333333333335
221,small,ashtray,6.6
222,small,ashtray,3.0
223,small,ashtray,6.5
224,small,ashtray,3.0
225,small,ashtray,2.6666666666666665
226,small,ashtray,6.5
227,small,ashtray,5.2
228,small,ashtray,7.666666666666667
229,small,ashtray,5.714285714285714
230,small,ashtray,6.8
231,small,ashtray,5.2
232,small,ashtray,2.5
233,small,ashtray,2.6666666666666665
234,small,ashtray,2.3333333333333335
235,small,ashtray,5.2
236,small,ashtray,4.5
237,small,ashtray,2.6666666666666665
238,small,ashtray,3.0
239,small,ashtray,4.428571428571429
240,small,ashtray,6.0
241,small,ashtray,4.6
242,small,ashtray,5.0
243,small,ashtray,4.8
244,small,ashtray,4.428571428571429
245,small,ashtray,2.0
246,small,ashtray,6.333333333333333
247,small,ashtray,10.8
248,small,ashtray,5.6
249,small,ashtray,2.3333333333333335
250,small,ashtray,5.714285714285714
251,small,ashtray,3.0
252,small,ashtray,3.0
253,small,ashtray,5.888888888888889
254,small,ashtray,5.857142857142857
255,small,ashtray,4.2
256,small,ashtray,4.6
257,small,ashtray,1.0
258,small,ashtray,6.571428571428571
259,small,ashtray,2.3333333333333335
260,small,ashtray,4.2
261,small,ashtray,5.0
262,small,ashtray,3.0
263,small,ashtray,5.6
264,small,ashtray,5.0
265,small,ashtray,7.0
266,small,ashtray,3.0
267,small,ashtray,2.6666666666666665
268,small,ashtray,6.4
269,small,ashtray,5.0
270,small,ashtray,3.0
271,small,ashtray,2.3333333333333335
272,small,ashtray,4.4
273,small,ashtray,9.4
274,small,ashtray,6.6
275,small,ashtray,2.6666666666666665
276,small,ashtray,7.2
277,small,ashtray,5.2
278,small,ashtray,2.6666666666666665
279,small,ashtray,4.714285714285714
280,small,ashtray,6.6
281,small,ashtray,2.6666666666666665
282,small,ashtray,4.6
283,small,ashtray,9.777777777777779
284,small,ashtray,7.0
285,small,ashtray,8.714285714285714
286,small,ashtray,3.0
287,small,ashtray,7.0
288,small,ashtray,2.3333333333333335
289,small,ashtray,2.3333333333333335
290,small,ashtray,7.285714285714286
291,small,ashtray,5.6
292,small,ashtray,3.0
293,small,ashtray,3.8
294,small,ashtray,2.6666666666666665
295,small,ashtray,4.6
296,small,ashtray,3.0
297,small,ashtray,7.5
298,small,ashtray,6.8
299,small,ashtray,7.0
300,small,ashtray,5.0
301,small,ashtray,3.0
